12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 304 - 21.402 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET / HTTP/1.0" 304 - 89.994 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 304 - 92.191 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 304 - 92.803 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /manifest.json HTTP/1.0" 200 - 112.059 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/1.svg HTTP/1.0" 200 - 110.105 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/3.svg HTTP/1.0" 200 - 108.125 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/2.svg HTTP/1.0" 200 - 109.905 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /controllers/controller.js HTTP/1.0" 200 - 117.052 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/launcher-icon-1x.png HTTP/1.0" 200 - 108.341 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/launcher-icon-2x.png HTTP/1.0" 200 - 104.364 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/launcher-icon-4x.png HTTP/1.0" 200 - 103.552 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /views/home.jade HTTP/1.0" 200 - 113.823 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:20 +0000 127.0.0.1 "GET /images/launcher-icon-8x.png HTTP/1.0" 200 - 106.001 ms "https://dev.au.flaykz.ovh/sw.js" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:28 +0000 127.0.0.1 "GET /manifest.json HTTP/1.0" 304 - 1.057 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/MRA58N) AppleWebKit/537.36(KHTML, like Gecko) Chrome/61.0.3116.0 Mobile Safari/537.36"
12/Nov/2017:22:47:29 +0000 127.0.0.1 "GET / HTTP/1.0" 304 - 1.261 ms "-" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 304 - 2.575 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 304 - 7.758 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 304 - 9.079 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 304 - 1.220 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET /styles/toastr.min.css HTTP/1.0" 304 - 4.267 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET /manifest.json HTTP/1.0" 304 - 0.773 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET / HTTP/1.0" 304 - 1.040 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:30 +0000 127.0.0.1 "GET / HTTP/1.0" 304 - 85.260 ms "-" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:31 +0000 127.0.0.1 "GET / HTTP/1.0" 304 - 2.075 ms "-" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:31 +0000 127.0.0.1 "GET /js/concat.js HTTP/1.0" 304 - 1.371 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:31 +0000 127.0.0.1 "GET /models/model.js HTTP/1.0" 304 - 7.479 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:31 +0000 127.0.0.1 "GET /images/0.svg HTTP/1.0" 304 - 11.881 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
12/Nov/2017:22:47:31 +0000 127.0.0.1 "GET /styles/style.css HTTP/1.0" 304 - 1.159 ms "https://dev.au.flaykz.ovh/" - "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36"
